,city,cloudiness,country,date,humidity,latitude,longitude,max_temperature,wind_speed
0,Mehamn,75,NO,1573717224,80,71.03,27.85,35.6,9.17
1,Batemans Bay,33,AU,1573717312,62,-35.71,150.18,59.04,4.18
2,Port Alfred,75,ZA,1573717224,67,-33.59,26.89,70.29,19.13
3,Ushuaia,75,AR,1573717175,100,-54.81,-68.31,42.8,9.17
4,Nanortalik,100,GL,1573717313,80,60.14,-45.24,40.08,28.3
5,Mazyr,2,BY,1573717313,62,52.05,29.27,51.1,17.38
6,Mali,23,CN,1573717313,69,27.53,102.2,60.03,7.0
7,Hilo,90,US,1573717235,65,19.71,-155.08,78.8,5.82
8,Vaini,40,IN,1573717313,57,15.34,74.49,80.6,11.41
9,Longyearbyen,40,NO,1573717314,91,78.22,15.63,32.0,11.41
10,Dikson,55,RU,1573717314,95,73.51,80.55,1.85,8.79
11,Luderitz,0,NA,1573717226,64,-26.65,15.16,69.8,5.82
12,Rikitea,1,PF,1573717314,76,-23.12,-134.97,71.06,22.26
13,Knysna,40,ZA,1573717029,68,-34.04,23.05,66.2,10.29
14,Goundam,0,ML,1573717226,18,16.42,-3.66,78.17,13.87
15,Butaritari,100,KI,1573717314,76,3.07,172.79,84.07,8.05
16,Bredasdorp,75,ZA,1573717227,60,-34.53,20.04,69.8,9.17
17,Mataura,100,NZ,1573717315,95,-46.19,168.86,46.38,1.77
18,Carnarvon,0,ZA,1573717315,25,-30.97,22.13,67.17,5.64
19,Clyde River,90,CA,1573717315,85,70.47,-68.59,14.0,9.17
20,Narsaq,100,GL,1573717315,60,60.91,-46.05,42.8,38.03
21,Busselton,0,AU,1573717315,46,-33.64,115.35,80.1,17.47
22,Marovoay,20,MG,1573717315,55,-16.11,46.64,91.4,9.17
23,Saint George,40,GR,1573717315,87,39.45,22.34,59.0,4.7
24,Thompson,90,CA,1573717228,92,55.74,-97.86,14.0,8.05
25,Vila Velha,40,BR,1573717316,74,-3.71,-38.6,78.8,11.41
26,Hermanus,14,ZA,1573717228,81,-34.42,19.24,64.11,15.12
27,Avarua,0,CK,1573717172,94,-21.21,-159.78,73.4,13.87
28,Chokurdakh,97,RU,1573717229,96,70.62,147.9,1.27,4.38
29,Iqaluit,75,CA,1573717229,78,63.75,-68.52,14.0,20.8
30,Port Elizabeth,1,US,1573717317,85,39.31,-74.98,28.4,4.09
31,Conceicao do Araguaia,70,BR,1573717317,96,-8.26,-49.26,71.85,0.96
32,Codrington,75,AU,1573717317,36,-28.95,153.24,78.8,16.11
33,Horadiz,75,AZ,1573717317,71,39.45,47.33,53.6,6.93
34,Saint-Georges,100,CA,1573717317,94,46.12,-70.67,7.54,2.82
35,Timra,75,SE,1573717230,87,62.49,17.33,33.8,4.7
36,Hobart,20,AU,1573717318,42,-42.88,147.33,62.6,28.86
37,Atuona,0,PF,1573717318,74,-9.8,-139.03,79.77,12.55
38,Tura,100,RU,1573717230,90,64.27,100.22,-28.57,3.29
39,Geraldton,90,CA,1573717318,85,49.72,-86.95,12.2,3.36
40,Ribeira Grande,75,PT,1573717318,63,38.52,-28.7,62.6,6.93
41,New Norfolk,20,AU,1573717231,42,-42.78,147.06,62.6,28.86
42,Albany,90,US,1573717319,62,42.65,-73.75,21.2,4.36
43,Chalus,75,IR,1573717319,67,36.66,51.42,62.6,6.93
44,Le Port,100,FR,1573717231,98,42.87,1.37,35.67,1.41
45,Tigzirt,63,DZ,1573717319,77,36.57,4.2,53.71,9.15
46,Hithadhoo,100,MV,1573717319,71,-0.6,73.08,83.23,7.16
47,Flinders,71,AU,1573717319,20,-34.58,150.85,82.4,17.22
48,Mar del Plata,79,AR,1573717149,36,-46.43,-67.52,57.33,14.56
49,Taksimo,95,RU,1573717232,92,56.36,114.84,-20.53,1.83
50,Jamestown,0,AU,1573717320,38,-33.21,138.6,65.64,8.37
51,Bosaso,20,SO,1573717320,74,11.28,49.18,80.6,10.29
52,Springbok,0,ZA,1573717320,35,-29.67,17.88,71.6,9.17
53,Tual,0,ID,1573717233,70,-5.67,132.75,81.54,9.89
54,North Bend,90,US,1573717233,100,43.41,-124.22,48.2,5.82
55,Bluff,0,AU,1573717233,24,-23.58,149.07,84.94,5.79
56,Namibe,100,AO,1573717321,81,-15.19,12.15,72.48,11.05
57,Shawinigan,75,CA,1573717170,78,46.54,-72.75,8.6,3.94
58,Sitka,6,US,1573717321,84,37.17,-99.65,39.0,9.66
59,Fairbanks,90,US,1573717279,71,64.84,-147.72,8.6,18.34
60,Lagoa,40,PT,1573717322,87,37.14,-8.45,57.2,8.05
61,Piopio,100,CL,1573717322,93,-42.79,-73.57,51.8,9.26
62,Tulun,58,RU,1573717234,74,54.56,100.58,8.04,2.66
63,Povenets,100,RU,1573717322,94,62.85,34.83,39.31,10.16
64,Puerto Ayora,29,EC,1573717322,85,-0.74,-90.35,68.65,10.33
65,Mecca,0,SA,1573717318,40,21.43,39.83,86.63,6.93
66,Vikulovo,76,RU,1573717235,75,55.07,40.96,39.09,8.88
67,Ilulissat,100,GL,1573717323,37,69.22,-51.1,35.6,18.34
68,Katsuura,40,JP,1573717323,38,33.93,134.5,59.0,14.99
69,Mikhaylovka,69,RU,1573717323,79,52.96,103.29,7.72,3.04
70,Khash,0,IR,1573717323,11,28.22,61.21,60.1,4.34
71,Luanda,75,AO,1573717184,78,-8.83,13.24,82.4,6.93
72,Kodiak,75,US,1573717324,94,39.95,-94.76,32.0,4.7
73,Punta Arenas,75,CL,1573717324,93,-53.16,-70.91,44.6,3.36
74,Deputatskiy,57,RU,1573717324,100,69.3,139.9,-13.55,0.31
75,Nouadhibou,100,MR,1573717236,82,20.93,-17.03,64.4,13.87
76,Pisco,90,PE,1573717236,93,-13.71,-76.2,64.4,6.93
77,Port-Gentil,40,GA,1573717324,83,-0.72,8.78,82.4,4.7
78,Ladybrand,40,ZA,1573717324,63,-29.19,27.46,66.2,9.17
79,Kapaa,75,US,1573717156,88,22.08,-159.32,75.2,5.82
80,Qaanaaq,100,GL,1573717325,56,77.48,-69.36,15.69,3.47
